Scalability Evaluation - Context sweep capability with 20 context set
Experiment executed on Wed Jan 21 16:00:32 BRST 2015
"Executing model 0 with 10 nodes... Full sweep: 100.0%"
"Executing model 1 with 10 nodes... Full sweep: 100.0%"
"Executing model 2 with 10 nodes... Full sweep: 100.0%"
"Executing model 3 with 10 nodes... Full sweep: 100.0%"
"Executing model 4 with 10 nodes... Full sweep: 100.0%"
"Executing model 5 with 10 nodes... Full sweep: 100.0%"
"Executing model 6 with 10 nodes... Full sweep: 100.0%"
"Executing model 7 with 10 nodes... Full sweep: 100.0%"
"Executing model 8 with 10 nodes... Full sweep: 100.0%"
"Executing model 9 with 10 nodes... Full sweep: 100.0%"
 10 1 1.0 100.0
"Executing model 0 with 100 nodes... Full sweep: 100.0%"
"Executing model 1 with 100 nodes... Full sweep: 100.0%"
"Executing model 2 with 100 nodes... Full sweep: 100.0%"
"Executing model 3 with 100 nodes... Full sweep: 100.0%"
"Executing model 4 with 100 nodes... Full sweep: 100.0%"
"Executing model 5 with 100 nodes... Full sweep: 100.0%"
"Executing model 6 with 100 nodes... Full sweep: 100.0%"
"Executing model 7 with 100 nodes... Full sweep: 100.0%"
"Executing model 8 with 100 nodes... Full sweep: 100.0%"
"Executing model 9 with 100 nodes... Full sweep: 100.0%"
 100 15 32767.0 100.0
"Executing model 0 with 200 nodes... Full sweep: 100.0%"
"Executing model 1 with 200 nodes... Full sweep: 100.0%"
"Executing model 2 with 200 nodes... Full sweep: 100.0%"
"Executing model 3 with 200 nodes... Full sweep: 100.0%"
"Executing model 4 with 200 nodes... Full sweep: 100.0%"
"Executing model 5 with 200 nodes... Full sweep: 100.0%"
"Executing model 6 with 200 nodes... Full sweep: 100.0%"
"Executing model 7 with 200 nodes... Full sweep: 100.0%"
"Executing model 8 with 200 nodes... Full sweep: 100.0%"
"Executing model 9 with 200 nodes... Full sweep: 100.0%"
 200 15 32767.0 100.0
"Executing model 0 with 300 nodes... Full sweep: 100.0%"
"Executing model 1 with 300 nodes... Full sweep: 100.0%"
"Executing model 2 with 300 nodes... Full sweep: 100.0%"
"Executing model 3 with 300 nodes... Full sweep: 100.0%"
"Executing model 4 with 300 nodes... Full sweep: 100.0%"
"Executing model 5 with 300 nodes... Full sweep: 100.0%"
"Executing model 6 with 300 nodes... Full sweep: 100.0%"
"Executing model 7 with 300 nodes... Full sweep: 100.0%"
"Executing model 8 with 300 nodes... Full sweep: 100.0%"
"Executing model 9 with 300 nodes... Full sweep: 100.0%"
 300 15 32767.0 100.0
"Executing model 0 with 400 nodes... Full sweep: 100.0%"
"Executing model 1 with 400 nodes... Partial sweep: 80.67567979979859%"
"Executing model 2 with 400 nodes... Partial sweep: 96.68874172185431%"
"Executing model 3 with 400 nodes... Partial sweep: 88.57387005218665%"
"Executing model 4 with 400 nodes... Full sweep: 100.0%"
"Executing model 5 with 400 nodes... Full sweep: 100.0%"
"Executing model 6 with 400 nodes... Full sweep: 100.0%"
"Executing model 7 with 400 nodes... Partial sweep: 85.49455244605853%"
"Executing model 8 with 400 nodes... Full sweep: 100.0%"
"Executing model 9 with 400 nodes... Full sweep: 100.0%"
 400 15 31175.0 95.14145329142126
"Executing model 0 with 500 nodes... Partial sweep: 93.01431318094424%"
"Executing model 1 with 500 nodes... Full sweep: 100.0%"
"Executing model 2 with 500 nodes... Full sweep: 100.0%"
"Executing model 3 with 500 nodes... Full sweep: 100.0%"
"Executing model 4 with 500 nodes... Partial sweep: 93.71623889889219%"
"Executing model 5 with 500 nodes... Full sweep: 100.0%"
"Executing model 6 with 500 nodes... Partial sweep: 63.93932920316172%"
"Executing model 7 with 500 nodes... Full sweep: 100.0%"
"Executing model 8 with 500 nodes... Full sweep: 100.0%"
"Executing model 9 with 500 nodes... Full sweep: 100.0%"
 500 15 31150.0 95.06515701773125
"Executing model 0 with 600 nodes... Full sweep: 100.0%"
"Executing model 1 with 600 nodes... Full sweep: 100.0%"
"Executing model 2 with 600 nodes... Full sweep: 100.0%"
"Executing model 3 with 600 nodes... Full sweep: 100.0%"
"Executing model 4 with 600 nodes... Full sweep: 100.0%"
"Executing model 5 with 600 nodes... Full sweep: 100.0%"
"Executing model 6 with 600 nodes... Full sweep: 100.0%"
"Executing model 7 with 600 nodes... Full sweep: 100.0%"
"Executing model 8 with 600 nodes... Partial sweep: 64.96475112155522%"
"Executing model 9 with 600 nodes... Full sweep: 100.0%"
 600 15 31619.0 96.49647511215552
"Executing model 0 with 700 nodes... Partial sweep: 78.78353221228676%"
"Executing model 1 with 700 nodes... Full sweep: 100.0%"
"Executing model 2 with 700 nodes... Partial sweep: 72.50892666402173%"
"Executing model 3 with 700 nodes... Full sweep: 100.0%"
"Executing model 4 with 700 nodes... Full sweep: 100.0%"
"Executing model 5 with 700 nodes... Full sweep: 100.0%"
"Executing model 6 with 700 nodes... Full sweep: 100.0%"
"Executing model 7 with 700 nodes... Full sweep: 100.0%"
"Executing model 8 with 700 nodes... Full sweep: 100.0%"
"Executing model 9 with 700 nodes... Full sweep: 100.0%"
 700 15 31171.0 95.12924588763086
"Executing model 0 with 800 nodes... Partial sweep: 44.505142368846705%"
"Executing model 1 with 800 nodes... Partial sweep: 42.081972716452526%"
"Executing model 2 with 800 nodes... Full sweep: 100.0%"
"Executing model 3 with 800 nodes... Partial sweep: 69.5242164372692%"
"Executing model 4 with 800 nodes... Partial sweep: 62.04107791375469%"
"Executing model 5 with 800 nodes... Partial sweep: 49.35453352458266%"
"Executing model 6 with 800 nodes... Full sweep: 100.0%"
"Executing model 7 with 800 nodes... Full sweep: 100.0%"
"Executing model 8 with 800 nodes... Full sweep: 100.0%"
"Executing model 9 with 800 nodes... Full sweep: 100.0%"
 800 15 25148.0 76.74794763023773
"Executing model 0 with 900 nodes... Partial sweep: 46.64754173406171%"
"Executing model 1 with 900 nodes... Full sweep: 100.0%"
"Executing model 2 with 900 nodes... Full sweep: 100.0%"
"Executing model 3 with 900 nodes... Partial sweep: 44.79201635792108%"
"Executing model 4 with 900 nodes... Partial sweep: 64.18347727896969%"
"Executing model 5 with 900 nodes... Full sweep: 100.0%"
"Executing model 6 with 900 nodes... Full sweep: 100.0%"
"Executing model 7 with 900 nodes... Full sweep: 100.0%"
"Executing model 8 with 900 nodes... Partial sweep: 38.89278847621082%"
"Executing model 9 with 900 nodes... Full sweep: 100.0%"
 900 15 26033.0 79.44883571886349
"Executing model 0 with 1000 nodes... Partial sweep: 34.17462691122166%"
"Executing model 1 with 1000 nodes... Partial sweep: 41.22745445112461%"
"Executing model 2 with 1000 nodes... Full sweep: 100.0%"
"Executing model 3 with 1000 nodes... Full sweep: 100.0%"
"Executing model 4 with 1000 nodes... Full sweep: 100.0%"
"Executing model 5 with 1000 nodes... Partial sweep: 63.72264778588214%"
"Executing model 6 with 1000 nodes... Full sweep: 100.0%"
"Executing model 7 with 1000 nodes... Full sweep: 100.0%"
"Executing model 8 with 1000 nodes... Full sweep: 100.0%"
"Executing model 9 with 1000 nodes... Partial sweep: 40.885647144993435%"
 1000 15 25558.0 77.99920651875362
"Executing model 0 with 1100 nodes... Partial sweep: 36.710715048677024%"
"Executing model 1 with 1100 nodes... Partial sweep: 85.70818201239051%"
"Executing model 2 with 1100 nodes... Full sweep: 100.0%"
"Executing model 3 with 1100 nodes... Full sweep: 100.0%"
"Executing model 4 with 1100 nodes... Full sweep: 100.0%"
"Executing model 5 with 1100 nodes... Full sweep: 100.0%"
"Executing model 6 with 1100 nodes... Full sweep: 100.0%"
"Executing model 7 with 1100 nodes... Partial sweep: 31.608020264290293%"
"Executing model 8 with 1100 nodes... Full sweep: 100.0%"
"Executing model 9 with 1100 nodes... Full sweep: 100.0%"
 1100 15 27983.0 85.39994506668295
"Executing model 0 with 1200 nodes... Partial sweep: 55.28733176671652%"
"Executing model 1 with 1200 nodes... Partial sweep: 41.20914334543901%"
"Executing model 2 with 1200 nodes... Full sweep: 100.0%"
"Executing model 3 with 1200 nodes... Full sweep: 100.0%"
"Executing model 4 with 1200 nodes... Partial sweep: 30.97628711813715%"
"Executing model 5 with 1200 nodes... Partial sweep: 71.07150486770226%"
"Executing model 6 with 1200 nodes... Partial sweep: 42.860194708090454%"
"Executing model 7 with 1200 nodes... Partial sweep: 37.086092715231786%"
"Executing model 8 with 1200 nodes... Full sweep: 100.0%"
"Executing model 9 with 1200 nodes... Partial sweep: 34.24787133396405%"
 1200 15 20077.0 61.27201147495956
"Executing model 0 with 1300 nodes... Full sweep: 100.0%"
"Executing model 1 with 1300 nodes... Full sweep: 100.0%"
"Executing model 2 with 1300 nodes... Full sweep: 100.0%"
"Executing model 3 with 1300 nodes... Full sweep: 100.0%"
"Executing model 4 with 1300 nodes... Full sweep: 100.0%"
"Executing model 5 with 1300 nodes... Partial sweep: 40.98941007721183%"
"Executing model 6 with 1300 nodes... Full sweep: 100.0%"
"Executing model 7 with 1300 nodes... Full sweep: 100.0%"
"Executing model 8 with 1300 nodes... Full sweep: 100.0%"
"Executing model 9 with 1300 nodes... Partial sweep: 30.628376110110782%"
 1300 15 28560.0 87.16086306344798
"Executing model 0 with 1400 nodes... Full sweep: 100.0%"
"Executing model 1 with 1400 nodes... Partial sweep: 46.848963896603294%"
"Executing model 2 with 1400 nodes... Full sweep: 100.0%"
"Executing model 3 with 1400 nodes... Full sweep: 100.0%"
"Executing model 4 with 1400 nodes... Partial sweep: 28.849147007660147%"
"Executing model 5 with 1400 nodes... Full sweep: 100.0%"
"Executing model 6 with 1400 nodes... Partial sweep: 33.50016785180212%"
"Executing model 7 with 1400 nodes... Full sweep: 100.0%"
"Executing model 8 with 1400 nodes... Partial sweep: 63.62498855555895%"
"Executing model 9 with 1400 nodes... Partial sweep: 37.531662953581346%"
 1400 15 23276.0 71.03488265633106
"Executing model 0 with 1500 nodes... Full sweep: 100.0%"
"Executing model 1 with 1500 nodes... Full sweep: 100.0%"
"Executing model 2 with 1500 nodes... Partial sweep: 26.679280983916748%"
"Executing model 3 with 1500 nodes... Partial sweep: 24.12182988982818%"
"Executing model 4 with 1500 nodes... Partial sweep: 24.36597796563616%"
"Executing model 5 with 1500 nodes... Full sweep: 100.0%"
"Executing model 6 with 1500 nodes... Full sweep: 100.0%"
"Executing model 7 with 1500 nodes... Full sweep: 100.0%"
"Executing model 8 with 1500 nodes... Full sweep: 100.0%"
"Executing model 9 with 1500 nodes... Full sweep: 100.0%"
 1500 15 25399.0 77.51396221808527
"Executing model 0 with 1600 nodes... Full sweep: 100.0%"
"Executing model 1 with 1600 nodes... Full sweep: 100.0%"
"Executing model 2 with 1600 nodes... Full sweep: 100.0%"
"Executing model 3 with 1600 nodes... Full sweep: 100.0%"
"Executing model 4 with 1600 nodes... Full sweep: 100.0%"
"Executing model 5 with 1600 nodes... Full sweep: 100.0%"
"Executing model 6 with 1600 nodes... Partial sweep: 61.07364116336558%"
"Executing model 7 with 1600 nodes... Partial sweep: 37.86736655781732%"
"Executing model 8 with 1600 nodes... Full sweep: 100.0%"
"Executing model 9 with 1600 nodes... Partial sweep: 68.34620197149572%"
 1600 15 28418.0 86.72750022888881
"Executing model 0 with 1700 nodes... Full sweep: 100.0%"
"Executing model 1 with 1700 nodes... Full sweep: 100.0%"
"Executing model 2 with 1700 nodes... Full sweep: 100.0%"
"Executing model 3 with 1700 nodes... Full sweep: 100.0%"
"Executing model 4 with 1700 nodes... Full sweep: 100.0%"
"Executing model 5 with 1700 nodes... Full sweep: 100.0%"
"Executing model 6 with 1700 nodes... Full sweep: 100.0%"
"Executing model 7 with 1700 nodes... Partial sweep: 24.57350383007294%"
"Executing model 8 with 1700 nodes... Full sweep: 100.0%"
"Executing model 9 with 1700 nodes... Full sweep: 100.0%"
 1700 15 30295.0 92.4558244575335
"Executing model 0 with 1800 nodes... Partial sweep: 60.869167149876404%"
"Executing model 1 with 1800 nodes... Partial sweep: 28.83388775292215%"
"Executing model 2 with 1800 nodes... Partial sweep: 86.73055207983641%"
"Executing model 3 with 1800 nodes... Full sweep: 100.0%"
"Executing model 4 with 1800 nodes... Full sweep: 100.0%"
"Executing model 5 with 1800 nodes... Full sweep: 100.0%"
"Executing model 6 with 1800 nodes... Partial sweep: 18.89095736564226%"
"Executing model 7 with 1800 nodes... Full sweep: 100.0%"
"Executing model 8 with 1800 nodes... Full sweep: 100.0%"
"Executing model 9 with 1800 nodes... Full sweep: 100.0%"
 1800 15 26060.0 79.53123569444868
"Executing model 0 with 1900 nodes... Full sweep: 100.0%"
"Executing model 1 with 1900 nodes... Full sweep: 100.0%"
"Executing model 2 with 1900 nodes... Partial sweep: 19.525742362743003%"
"Executing model 3 with 1900 nodes... Full sweep: 100.0%"
"Executing model 4 with 1900 nodes... Full sweep: 100.0%"
"Executing model 5 with 1900 nodes... Full sweep: 100.0%"
"Executing model 6 with 1900 nodes... Partial sweep: 24.561296426282542%"
"Executing model 7 with 1900 nodes... Partial sweep: 61.870174260689105%"
"Executing model 8 with 1900 nodes... Partial sweep: 87.44163335062716%"
"Executing model 9 with 1900 nodes... Full sweep: 100.0%"
 1900 15 25997.0 79.3389690847499
"Executing model 0 with 2000 nodes... Partial sweep: 40.336313974425494%"
"Executing model 1 with 2000 nodes... Partial sweep: 87.50267036957915%"
"Executing model 2 with 2000 nodes... Partial sweep: 22.009949034089175%"
"Executing model 3 with 2000 nodes... Partial sweep: 21.680349131748404%"
"Executing model 4 with 2000 nodes... Full sweep: 100.0%"
"Executing model 5 with 2000 nodes... Partial sweep: 60.97903378398999%"
"Executing model 6 with 2000 nodes... Full sweep: 100.0%"
"Executing model 7 with 2000 nodes... Full sweep: 100.0%"
"Executing model 8 with 2000 nodes... Full sweep: 100.0%"
"Executing model 9 with 2000 nodes... Partial sweep: 24.662007507553334%"
 2000 15 21533.0 65.71550645466475
"Executing model 0 with 2100 nodes... Partial sweep: 23.499252296517838%"
"Executing model 1 with 2100 nodes... Full sweep: 100.0%"
"Executing model 2 with 2100 nodes... Full sweep: 100.0%"
"Executing model 3 with 2100 nodes... Full sweep: 100.0%"
"Executing model 4 with 2100 nodes... Partial sweep: 68.4865871150853%"
"Executing model 5 with 2100 nodes... Partial sweep: 23.37717825861385%"
"Executing model 6 with 2100 nodes... Full sweep: 100.0%"
"Executing model 7 with 2100 nodes... Partial sweep: 18.277535325174718%"
"Executing model 8 with 2100 nodes... Full sweep: 100.0%"
"Executing model 9 with 2100 nodes... Full sweep: 100.0%"
 2100 15 24039.0 73.36344492934965
"Executing model 0 with 2200 nodes... Partial sweep: 70.04608294930875%"
"Executing model 1 with 2200 nodes... Full sweep: 100.0%"
"Executing model 2 with 2200 nodes... Full sweep: 100.0%"
"Executing model 3 with 2200 nodes... Full sweep: 100.0%"
"Executing model 4 with 2200 nodes... Partial sweep: 19.89806817835017%"
"Executing model 5 with 2200 nodes... Full sweep: 100.0%"
"Executing model 6 with 2200 nodes... Full sweep: 100.0%"
"Executing model 7 with 2200 nodes... Partial sweep: 18.836024048585468%"
"Executing model 8 with 2200 nodes... Partial sweep: 19.504379406109805%"
"Executing model 9 with 2200 nodes... Partial sweep: 34.876552629169595%"
 2200 15 21729.0 66.3136692403943
"Executing model 0 with 2300 nodes... Partial sweep: 31.025116733298745%"
"Executing model 1 with 2300 nodes... Full sweep: 100.0%"
"Executing model 2 with 2300 nodes... Partial sweep: 90.60945463423566%"
