Beginning AlternativeOR evaluation 
AlternativeOR: 500 1 23 
AlternativeOR: 1000 1 42 
AlternativeOR: 1500 1 49 
AlternativeOR: 2000 1 93 
AlternativeOR: 2500 1 106 
AlternativeOR: 3000 1 120 
AlternativeOR: 3500 1 170 
AlternativeOR: 4000 1 227 
AlternativeOR: 4500 1 276 
AlternativeOR: 5000 1 270 
AlternativeOR: 5500 1 271 
AlternativeOR: 6000 1 256 
AlternativeOR: 6500 1 342 
AlternativeOR: 7000 1 411 
AlternativeOR: 7500 1 438 
AlternativeOR: 8000 1 596 
AlternativeOR: 8500 1 529 
AlternativeOR: 9000 1 634 
AlternativeOR: 9500 1 619 
AlternativeOR: 10000 1 602 
AlternativeOR: 500 2 27 
AlternativeOR: 1000 2 80 
AlternativeOR: 1500 2 86 
AlternativeOR: 2000 2 144 
AlternativeOR: 2500 2 161 
AlternativeOR: 3000 2 214 
AlternativeOR: 3500 2 269 
AlternativeOR: 4000 2 328 
AlternativeOR: 4500 2 382 
AlternativeOR: 5000 2 379 
AlternativeOR: 5500 2 444 
AlternativeOR: 6000 2 408 
AlternativeOR: 6500 2 509 
AlternativeOR: 7000 2 601 
AlternativeOR: 7500 2 638 
AlternativeOR: 8000 2 783 
AlternativeOR: 8500 2 827 
AlternativeOR: 9000 2 791 
AlternativeOR: 9500 2 858 
AlternativeOR: 10000 2 862 
AlternativeOR: 500 3 35 
AlternativeOR: 1000 3 80 
AlternativeOR: 1500 3 100 
AlternativeOR: 2000 3 181 
AlternativeOR: 2500 3 255 
AlternativeOR: 3000 3 242 
AlternativeOR: 3500 3 329 
AlternativeOR: 4000 3 439 
AlternativeOR: 4500 3 545 
AlternativeOR: 5000 3 526 
AlternativeOR: 5500 3 541 
AlternativeOR: 6000 3 519 
AlternativeOR: 6500 3 699 
AlternativeOR: 7000 3 867 
AlternativeOR: 7500 3 931 
AlternativeOR: 8000 3 973 
AlternativeOR: 8500 3 1128 
AlternativeOR: 9000 3 1383 
AlternativeOR: 9500 3 1103 
AlternativeOR: 10000 3 1135 
AlternativeOR: 500 4 45 
AlternativeOR: 1000 4 100 
AlternativeOR: 1500 4 127 
AlternativeOR: 2000 4 255 
AlternativeOR: 2500 4 283 
AlternativeOR: 3000 4 293 
AlternativeOR: 3500 4 452 
AlternativeOR: 4000 4 562 
AlternativeOR: 4500 4 597 
AlternativeOR: 5000 4 609 
AlternativeOR: 5500 4 700 
AlternativeOR: 6000 4 701 
AlternativeOR: 6500 4 793 
AlternativeOR: 7000 4 1012 
AlternativeOR: 7500 4 1144 
AlternativeOR: 8000 4 1218 
AlternativeOR: 8500 4 1386 
AlternativeOR: 9000 4 1568 
AlternativeOR: 9500 4 1389 
AlternativeOR: 10000 4 1357 
AlternativeOR: 500 5 64 
AlternativeOR: 1000 5 185 
AlternativeOR: 1500 5 179 
AlternativeOR: 2000 5 272 
AlternativeOR: 2500 5 319 
AlternativeOR: 3000 5 414 
AlternativeOR: 3500 5 534 
AlternativeOR: 4000 5 754 
AlternativeOR: 4500 5 755 
AlternativeOR: 5000 5 773 
AlternativeOR: 5500 5 796 
AlternativeOR: 6000 5 906 
AlternativeOR: 6500 5 1038 
AlternativeOR: 7000 5 1132 
AlternativeOR: 7500 5 1321 
AlternativeOR: 8000 5 1514 
AlternativeOR: 8500 5 1617 
AlternativeOR: 9000 5 1572 
AlternativeOR: 9500 5 1691 
AlternativeOR: 10000 5 1628 
End AlternativeOR evaluation 
