Beginning InterleavedIteration evaluation 
InterleavedIteration: 500 1 25 
InterleavedIteration: 1000 1 54 
InterleavedIteration: 1500 1 56 
InterleavedIteration: 2000 1 136 
InterleavedIteration: 2500 1 142 
InterleavedIteration: 3000 1 127 
InterleavedIteration: 3500 1 195 
InterleavedIteration: 4000 1 256 
InterleavedIteration: 4500 1 296 
InterleavedIteration: 5000 1 315 
InterleavedIteration: 5500 1 312 
InterleavedIteration: 6000 1 281 
InterleavedIteration: 6500 1 322 
InterleavedIteration: 7000 1 405 
InterleavedIteration: 7500 1 516 
InterleavedIteration: 8000 1 700 
InterleavedIteration: 8500 1 783 
InterleavedIteration: 9000 1 768 
InterleavedIteration: 9500 1 752 
InterleavedIteration: 10000 1 742 
InterleavedIteration: 500 2 36 
InterleavedIteration: 1000 2 83 
InterleavedIteration: 1500 2 90 
InterleavedIteration: 2000 2 186 
InterleavedIteration: 2500 2 202 
InterleavedIteration: 3000 2 198 
InterleavedIteration: 3500 2 297 
InterleavedIteration: 4000 2 376 
InterleavedIteration: 4500 2 421 
InterleavedIteration: 5000 2 433 
InterleavedIteration: 5500 2 442 
InterleavedIteration: 6000 2 459 
InterleavedIteration: 6500 2 635 
InterleavedIteration: 7000 2 845 
InterleavedIteration: 7500 2 968 
InterleavedIteration: 8000 2 985 
InterleavedIteration: 8500 2 928 
InterleavedIteration: 9000 2 1003 
InterleavedIteration: 9500 2 889 
InterleavedIteration: 10000 2 905 
InterleavedIteration: 500 3 41 
InterleavedIteration: 1000 3 93 
InterleavedIteration: 1500 3 97 
InterleavedIteration: 2000 3 218 
InterleavedIteration: 2500 3 226 
InterleavedIteration: 3000 3 243 
InterleavedIteration: 3500 3 363 
InterleavedIteration: 4000 3 578 
InterleavedIteration: 4500 3 619 
InterleavedIteration: 5000 3 610 
InterleavedIteration: 5500 3 600 
InterleavedIteration: 6000 3 561 
InterleavedIteration: 6500 3 739 
InterleavedIteration: 7000 3 1055 
InterleavedIteration: 7500 3 1337 
InterleavedIteration: 8000 3 1454 
InterleavedIteration: 8500 3 1328 
InterleavedIteration: 9000 3 1278 
InterleavedIteration: 9500 3 1254 
InterleavedIteration: 10000 3 1336 
InterleavedIteration: 500 4 56 
InterleavedIteration: 1000 4 141 
InterleavedIteration: 1500 4 139 
InterleavedIteration: 2000 4 306 
InterleavedIteration: 2500 4 292 
InterleavedIteration: 3000 4 281 
InterleavedIteration: 3500 4 450 
InterleavedIteration: 4000 4 697 
InterleavedIteration: 4500 4 751 
InterleavedIteration: 5000 4 754 
InterleavedIteration: 5500 4 764 
InterleavedIteration: 6000 4 759 
InterleavedIteration: 6500 4 922 
InterleavedIteration: 7000 4 1153 
InterleavedIteration: 7500 4 1352 
InterleavedIteration: 8000 4 1734 
InterleavedIteration: 8500 4 1917 
InterleavedIteration: 9000 4 1796 
InterleavedIteration: 9500 4 1506 
InterleavedIteration: 10000 4 1650 
InterleavedIteration: 500 5 58 
InterleavedIteration: 1000 5 138 
InterleavedIteration: 1500 5 140 
InterleavedIteration: 2000 5 337 
InterleavedIteration: 2500 5 362 
InterleavedIteration: 3000 5 353 
InterleavedIteration: 3500 5 608 
InterleavedIteration: 4000 5 902 
InterleavedIteration: 4500 5 926 
InterleavedIteration: 5000 5 957 
InterleavedIteration: 5500 5 976 
InterleavedIteration: 6000 5 987 
InterleavedIteration: 6500 5 1331 
InterleavedIteration: 7000 5 1437 
InterleavedIteration: 7500 5 1579 
InterleavedIteration: 8000 5 1810 
InterleavedIteration: 8500 5 1907 
InterleavedIteration: 9000 5 1908 
InterleavedIteration: 9500 5 1931 
InterleavedIteration: 10000 5 2167 
End InterleavedIteration evaluation 
Beginning InterleavedIteration evaluation 
InterleavedIteration: 500 1 25 
InterleavedIteration: 1000 1 54 
InterleavedIteration: 1500 1 56 
InterleavedIteration: 2000 1 136 
InterleavedIteration: 2500 1 142 
InterleavedIteration: 3000 1 127 
InterleavedIteration: 3500 1 195 
InterleavedIteration: 4000 1 256 
InterleavedIteration: 4500 1 296 
InterleavedIteration: 5000 1 315 
InterleavedIteration: 5500 1 312 
InterleavedIteration: 6000 1 281 
InterleavedIteration: 6500 1 322 
InterleavedIteration: 7000 1 405 
InterleavedIteration: 7500 1 516 
InterleavedIteration: 8000 1 700 
InterleavedIteration: 8500 1 783 
InterleavedIteration: 9000 1 768 
InterleavedIteration: 9500 1 752 
InterleavedIteration: 10000 1 742 
InterleavedIteration: 500 2 36 
InterleavedIteration: 1000 2 83 
InterleavedIteration: 1500 2 90 
InterleavedIteration: 2000 2 186 
InterleavedIteration: 2500 2 202 
InterleavedIteration: 3000 2 198 
InterleavedIteration: 3500 2 297 
InterleavedIteration: 4000 2 376 
InterleavedIteration: 4500 2 421 
InterleavedIteration: 5000 2 433 
InterleavedIteration: 5500 2 442 
InterleavedIteration: 6000 2 459 
InterleavedIteration: 6500 2 635 
InterleavedIteration: 7000 2 845 
InterleavedIteration: 7500 2 968 
InterleavedIteration: 8000 2 985 
InterleavedIteration: 8500 2 928 
InterleavedIteration: 9000 2 1003 
InterleavedIteration: 9500 2 889 
InterleavedIteration: 10000 2 905 
InterleavedIteration: 500 3 41 
InterleavedIteration: 1000 3 93 
InterleavedIteration: 1500 3 97 
InterleavedIteration: 2000 3 218 
InterleavedIteration: 2500 3 226 
InterleavedIteration: 3000 3 243 
InterleavedIteration: 3500 3 363 
InterleavedIteration: 4000 3 578 
InterleavedIteration: 4500 3 619 
InterleavedIteration: 5000 3 610 
InterleavedIteration: 5500 3 600 
InterleavedIteration: 6000 3 561 
InterleavedIteration: 6500 3 739 
InterleavedIteration: 7000 3 1055 
InterleavedIteration: 7500 3 1337 
InterleavedIteration: 8000 3 1454 
InterleavedIteration: 8500 3 1328 
InterleavedIteration: 9000 3 1278 
InterleavedIteration: 9500 3 1254 
InterleavedIteration: 10000 3 1336 
InterleavedIteration: 500 4 56 
InterleavedIteration: 1000 4 141 
InterleavedIteration: 1500 4 139 
InterleavedIteration: 2000 4 306 
InterleavedIteration: 2500 4 292 
InterleavedIteration: 3000 4 281 
InterleavedIteration: 3500 4 450 
InterleavedIteration: 4000 4 697 
InterleavedIteration: 4500 4 751 
InterleavedIteration: 5000 4 754 
InterleavedIteration: 5500 4 764 
InterleavedIteration: 6000 4 759 
InterleavedIteration: 6500 4 922 
InterleavedIteration: 7000 4 1153 
InterleavedIteration: 7500 4 1352 
InterleavedIteration: 8000 4 1734 
InterleavedIteration: 8500 4 1917 
InterleavedIteration: 9000 4 1796 
InterleavedIteration: 9500 4 1506 
InterleavedIteration: 10000 4 1650 
InterleavedIteration: 500 5 58 
InterleavedIteration: 1000 5 138 
InterleavedIteration: 1500 5 140 
InterleavedIteration: 2000 5 337 
InterleavedIteration: 2500 5 362 
InterleavedIteration: 3000 5 353 
InterleavedIteration: 3500 5 608 
InterleavedIteration: 4000 5 902 
InterleavedIteration: 4500 5 926 
InterleavedIteration: 5000 5 957 
InterleavedIteration: 5500 5 976 
InterleavedIteration: 6000 5 987 
InterleavedIteration: 6500 5 1331 
InterleavedIteration: 7000 5 1437 
InterleavedIteration: 7500 5 1579 
InterleavedIteration: 8000 5 1810 
InterleavedIteration: 8500 5 1907 
InterleavedIteration: 9000 5 1908 
InterleavedIteration: 9500 5 1931 
InterleavedIteration: 10000 5 2167 
End InterleavedIteration evaluation 
Beginning InterleavedIteration evaluation 
InterleavedIteration: 500 5 107 
InterleavedIteration: 1000 5 178 
InterleavedIteration: 1500 5 145 
InterleavedIteration: 2000 5 340 
InterleavedIteration: 2500 5 444 
InterleavedIteration: 3000 5 400 
InterleavedIteration: 3500 5 731 
InterleavedIteration: 4000 5 773 
InterleavedIteration: 4500 5 809 
InterleavedIteration: 5000 5 846 
InterleavedIteration: 5500 5 842 
InterleavedIteration: 6000 5 926 
InterleavedIteration: 6500 5 997 
InterleavedIteration: 7000 5 1352 
InterleavedIteration: 7500 5 1603 
InterleavedIteration: 8000 5 1858 
InterleavedIteration: 8500 5 1885 
InterleavedIteration: 9000 5 1962 
InterleavedIteration: 9500 5 1983 
InterleavedIteration: 10000 5 1829 
InterleavedIteration: 500 6 73 
InterleavedIteration: 1000 6 200 
InterleavedIteration: 1500 6 202 
InterleavedIteration: 2000 6 424 
InterleavedIteration: 2500 6 406 
InterleavedIteration: 3000 6 486 
InterleavedIteration: 3500 6 792 
InterleavedIteration: 4000 6 1124 
InterleavedIteration: 4500 6 1011 
InterleavedIteration: 5000 6 977 
InterleavedIteration: 5500 6 1098 
InterleavedIteration: 6000 6 957 
InterleavedIteration: 6500 6 1145 
InterleavedIteration: 7000 6 1647 
InterleavedIteration: 7500 6 1708 
InterleavedIteration: 8000 6 2000 
InterleavedIteration: 8500 6 2226 
InterleavedIteration: 9000 6 2465 
InterleavedIteration: 9500 6 2225 
InterleavedIteration: 10000 6 2422 
InterleavedIteration: 500 7 85 
InterleavedIteration: 1000 7 217 
InterleavedIteration: 1500 7 225 
InterleavedIteration: 2000 7 432 
InterleavedIteration: 2500 7 466 
InterleavedIteration: 3000 7 553 
InterleavedIteration: 3500 7 731 
InterleavedIteration: 4000 7 1043 
InterleavedIteration: 4500 7 1084 
InterleavedIteration: 5000 7 1078 
InterleavedIteration: 5500 7 1151 
InterleavedIteration: 6000 7 1144 
InterleavedIteration: 6500 7 1390 
InterleavedIteration: 7000 7 1670 
InterleavedIteration: 7500 7 2082 
InterleavedIteration: 8000 7 2343 
InterleavedIteration: 8500 7 2581 
InterleavedIteration: 9000 7 2754 
InterleavedIteration: 9500 7 2511 
InterleavedIteration: 10000 7 2858 
InterleavedIteration: 500 8 90 
InterleavedIteration: 1000 8 207 
InterleavedIteration: 1500 8 206 
InterleavedIteration: 2000 8 480 
InterleavedIteration: 2500 8 508 
InterleavedIteration: 3000 8 560 
InterleavedIteration: 3500 8 868 
InterleavedIteration: 4000 8 1391 
InterleavedIteration: 4500 8 1289 
InterleavedIteration: 5000 8 1227 
InterleavedIteration: 5500 8 1455 
InterleavedIteration: 6000 8 1227 
InterleavedIteration: 6500 8 1601 
InterleavedIteration: 7000 8 2411 
InterleavedIteration: 7500 8 2206 
InterleavedIteration: 8000 8 2754 
InterleavedIteration: 8500 8 2879 
InterleavedIteration: 9000 8 3273 
InterleavedIteration: 9500 8 3339 
InterleavedIteration: 10000 8 2585 
InterleavedIteration: 500 9 114 
InterleavedIteration: 1000 9 269 
InterleavedIteration: 1500 9 258 
InterleavedIteration: 2000 9 581 
InterleavedIteration: 2500 9 619 
InterleavedIteration: 3000 9 673 
InterleavedIteration: 3500 9 1037 
InterleavedIteration: 4000 9 1429 
InterleavedIteration: 4500 9 1451 
InterleavedIteration: 5000 9 1420 
InterleavedIteration: 5500 9 1438 
InterleavedIteration: 6000 9 1660 
InterleavedIteration: 6500 9 1676 
InterleavedIteration: 7000 9 2000 
InterleavedIteration: 7500 9 2725 
InterleavedIteration: 8000 9 3116 
InterleavedIteration: 8500 9 3162 
InterleavedIteration: 9000 9 3252 
InterleavedIteration: 9500 9 3174 
InterleavedIteration: 10000 9 3051 
InterleavedIteration: 500 10 103 
InterleavedIteration: 1000 10 242 
InterleavedIteration: 1500 10 328 
InterleavedIteration: 2000 10 686 
InterleavedIteration: 2500 10 715 
InterleavedIteration: 3000 10 702 
InterleavedIteration: 3500 10 1006 
