Beginning SerialAND evaluation 
SerialAND: 500 1 32 
SerialAND: 1000 1 62 
SerialAND: 1500 1 84 
SerialAND: 2000 1 144 
SerialAND: 2500 1 166 
SerialAND: 3000 1 182 
SerialAND: 3500 1 263 
SerialAND: 4000 1 325 
SerialAND: 4500 1 336 
SerialAND: 5000 1 362 
SerialAND: 5500 1 316 
SerialAND: 6000 1 361 
SerialAND: 6500 1 366 
SerialAND: 7000 1 453 
SerialAND: 7500 1 484 
SerialAND: 8000 1 584 
SerialAND: 8500 1 606 
SerialAND: 9000 1 607 
SerialAND: 9500 1 653 
SerialAND: 10000 1 686 
SerialAND: 500 2 32 
SerialAND: 1000 2 71 
SerialAND: 1500 2 92 
SerialAND: 2000 2 152 
SerialAND: 2500 2 203 
SerialAND: 3000 2 225 
SerialAND: 3500 2 277 
SerialAND: 4000 2 393 
SerialAND: 4500 2 431 
SerialAND: 5000 2 468 
SerialAND: 5500 2 471 
SerialAND: 6000 2 466 
SerialAND: 6500 2 626 
SerialAND: 7000 2 677 
SerialAND: 7500 2 723 
SerialAND: 8000 2 865 
SerialAND: 8500 2 998 
SerialAND: 9000 2 1074 
SerialAND: 9500 2 1004 
SerialAND: 10000 2 996 
SerialAND: 500 3 40 
SerialAND: 1000 3 110 
SerialAND: 1500 3 149 
SerialAND: 2000 3 253 
SerialAND: 2500 3 303 
SerialAND: 3000 3 328 
SerialAND: 3500 3 386 
SerialAND: 4000 3 517 
SerialAND: 4500 3 536 
SerialAND: 5000 3 540 
SerialAND: 5500 3 601 
SerialAND: 6000 3 570 
SerialAND: 6500 3 745 
SerialAND: 7000 3 866 
SerialAND: 7500 3 919 
SerialAND: 8000 3 1124 
SerialAND: 8500 3 1143 
SerialAND: 9000 3 1295 
SerialAND: 9500 3 1375 
SerialAND: 10000 3 1388 
SerialAND: 500 4 58 
SerialAND: 1000 4 133 
SerialAND: 1500 4 170 
SerialAND: 2000 4 283 
SerialAND: 2500 4 279 
SerialAND: 3000 4 348 
SerialAND: 3500 4 462 
SerialAND: 4000 4 607 
SerialAND: 4500 4 691 
SerialAND: 5000 4 721 
SerialAND: 5500 4 740 
SerialAND: 6000 4 795 
SerialAND: 6500 4 838 
SerialAND: 7000 4 1038 
SerialAND: 7500 4 1380 
SerialAND: 8000 4 1348 
SerialAND: 8500 4 1561 
SerialAND: 9000 4 1495 
SerialAND: 9500 4 1530 
SerialAND: 10000 4 1515 
SerialAND: 500 5 56 
SerialAND: 1000 5 125 
SerialAND: 1500 5 177 
SerialAND: 2000 5 291 
SerialAND: 2500 5 410 
SerialAND: 3000 5 490 
SerialAND: 3500 5 613 
SerialAND: 4000 5 764 
SerialAND: 4500 5 805 
SerialAND: 5000 5 861 
SerialAND: 5500 5 943 
SerialAND: 6000 5 933 
SerialAND: 6500 5 1066 
SerialAND: 7000 5 1378 
SerialAND: 7500 5 1476 
SerialAND: 8000 5 1623 
SerialAND: 8500 5 1705 
SerialAND: 9000 5 1854 
SerialAND: 9500 5 1724 
SerialAND: 10000 5 1905 
End SerialAND evaluation 
Beginning SerialAND evaluation 
SerialAND: 500 1 32 
SerialAND: 1000 1 62 
SerialAND: 1500 1 84 
SerialAND: 2000 1 144 
SerialAND: 2500 1 166 
SerialAND: 3000 1 182 
SerialAND: 3500 1 263 
SerialAND: 4000 1 325 
SerialAND: 4500 1 336 
SerialAND: 5000 1 362 
SerialAND: 5500 1 316 
SerialAND: 6000 1 361 
SerialAND: 6500 1 366 
SerialAND: 7000 1 453 
SerialAND: 7500 1 484 
SerialAND: 8000 1 584 
SerialAND: 8500 1 606 
SerialAND: 9000 1 607 
SerialAND: 9500 1 653 
SerialAND: 10000 1 686 
SerialAND: 500 2 32 
SerialAND: 1000 2 71 
SerialAND: 1500 2 92 
SerialAND: 2000 2 152 
SerialAND: 2500 2 203 
SerialAND: 3000 2 225 
SerialAND: 3500 2 277 
SerialAND: 4000 2 393 
SerialAND: 4500 2 431 
SerialAND: 5000 2 468 
SerialAND: 5500 2 471 
SerialAND: 6000 2 466 
SerialAND: 6500 2 626 
SerialAND: 7000 2 677 
SerialAND: 7500 2 723 
SerialAND: 8000 2 865 
SerialAND: 8500 2 998 
SerialAND: 9000 2 1074 
SerialAND: 9500 2 1004 
SerialAND: 10000 2 996 
SerialAND: 500 3 40 
SerialAND: 1000 3 110 
SerialAND: 1500 3 149 
SerialAND: 2000 3 253 
SerialAND: 2500 3 303 
SerialAND: 3000 3 328 
SerialAND: 3500 3 386 
SerialAND: 4000 3 517 
SerialAND: 4500 3 536 
SerialAND: 5000 3 540 
SerialAND: 5500 3 601 
SerialAND: 6000 3 570 
SerialAND: 6500 3 745 
SerialAND: 7000 3 866 
SerialAND: 7500 3 919 
SerialAND: 8000 3 1124 
SerialAND: 8500 3 1143 
SerialAND: 9000 3 1295 
SerialAND: 9500 3 1375 
SerialAND: 10000 3 1388 
SerialAND: 500 4 58 
SerialAND: 1000 4 133 
SerialAND: 1500 4 170 
SerialAND: 2000 4 283 
SerialAND: 2500 4 279 
SerialAND: 3000 4 348 
SerialAND: 3500 4 462 
SerialAND: 4000 4 607 
SerialAND: 4500 4 691 
SerialAND: 5000 4 721 
SerialAND: 5500 4 740 
SerialAND: 6000 4 795 
SerialAND: 6500 4 838 
SerialAND: 7000 4 1038 
SerialAND: 7500 4 1380 
SerialAND: 8000 4 1348 
SerialAND: 8500 4 1561 
SerialAND: 9000 4 1495 
SerialAND: 9500 4 1530 
SerialAND: 10000 4 1515 
SerialAND: 500 5 56 
SerialAND: 1000 5 125 
SerialAND: 1500 5 177 
SerialAND: 2000 5 291 
SerialAND: 2500 5 410 
SerialAND: 3000 5 490 
SerialAND: 3500 5 613 
SerialAND: 4000 5 764 
SerialAND: 4500 5 805 
SerialAND: 5000 5 861 
SerialAND: 5500 5 943 
SerialAND: 6000 5 933 
SerialAND: 6500 5 1066 
SerialAND: 7000 5 1378 
SerialAND: 7500 5 1476 
SerialAND: 8000 5 1623 
SerialAND: 8500 5 1705 
SerialAND: 9000 5 1854 
SerialAND: 9500 5 1724 
SerialAND: 10000 5 1905 
End SerialAND evaluation 
Beginning SerialAND evaluation 
SerialAND: 500 5 68 
SerialAND: 1000 5 151 
SerialAND: 1500 5 206 
SerialAND: 2000 5 358 
SerialAND: 2500 5 391 
SerialAND: 3000 5 420 
SerialAND: 3500 5 561 
SerialAND: 4000 5 718 
SerialAND: 4500 5 766 
SerialAND: 5000 5 790 
SerialAND: 5500 5 878 
SerialAND: 6000 5 996 
SerialAND: 6500 5 1020 
SerialAND: 7000 5 1329 
SerialAND: 7500 5 1475 
SerialAND: 8000 5 1714 
SerialAND: 8500 5 1603 
SerialAND: 9000 5 1788 
SerialAND: 9500 5 1725 
SerialAND: 10000 5 1846 
SerialAND: 500 6 61 
SerialAND: 1000 6 146 
SerialAND: 1500 6 180 
SerialAND: 2000 6 325 
SerialAND: 2500 6 391 
SerialAND: 3000 6 431 
SerialAND: 3500 6 683 
SerialAND: 4000 6 845 
SerialAND: 4500 6 899 
SerialAND: 5000 6 1025 
SerialAND: 5500 6 1202 
SerialAND: 6000 6 1190 
SerialAND: 6500 6 1238 
SerialAND: 7000 6 1364 
SerialAND: 7500 6 1655 
SerialAND: 8000 6 1809 
SerialAND: 8500 6 2035 
SerialAND: 9000 6 2237 
SerialAND: 9500 6 2142 
SerialAND: 10000 6 2145 
SerialAND: 500 7 89 
SerialAND: 1000 7 167 
SerialAND: 1500 7 200 
SerialAND: 2000 7 375 
SerialAND: 2500 7 476 
SerialAND: 3000 7 539 
SerialAND: 3500 7 723 
SerialAND: 4000 7 899 
SerialAND: 4500 7 1014 
SerialAND: 5000 7 1037 
SerialAND: 5500 7 1157 
SerialAND: 6000 7 1203 
SerialAND: 6500 7 1249 
SerialAND: 7000 7 1611 
SerialAND: 7500 7 1968 
SerialAND: 8000 7 2216 
SerialAND: 8500 7 2171 
SerialAND: 9000 7 2358 
SerialAND: 9500 7 2274 
SerialAND: 10000 7 2268 
SerialAND: 500 8 84 
SerialAND: 1000 8 191 
SerialAND: 1500 8 226 
SerialAND: 2000 8 461 
SerialAND: 2500 8 567 
SerialAND: 3000 8 576 
SerialAND: 3500 8 813 
SerialAND: 4000 8 1030 
SerialAND: 4500 8 1201 
SerialAND: 5000 8 1170 
SerialAND: 5500 8 1352 
SerialAND: 6000 8 1357 
SerialAND: 6500 8 1491 
SerialAND: 7000 8 1760 
SerialAND: 7500 8 2064 
SerialAND: 8000 8 2323 
SerialAND: 8500 8 2615 
SerialAND: 9000 8 2567 
SerialAND: 9500 8 2745 
SerialAND: 10000 8 2654 
SerialAND: 500 9 98 
SerialAND: 1000 9 206 
SerialAND: 1500 9 286 
SerialAND: 2000 9 481 
SerialAND: 2500 9 540 
SerialAND: 3000 9 623 
SerialAND: 3500 9 874 
SerialAND: 4000 9 1269 
SerialAND: 4500 9 1255 
SerialAND: 5000 9 1281 
SerialAND: 5500 9 1417 
SerialAND: 6000 9 1449 
SerialAND: 6500 9 1599 
SerialAND: 7000 9 1915 
SerialAND: 7500 9 2310 
SerialAND: 8000 9 2609 
SerialAND: 8500 9 2823 
SerialAND: 9000 9 2762 
SerialAND: 9500 9 2922 
SerialAND: 10000 9 3034 
SerialAND: 500 10 109 
SerialAND: 1000 10 234 
SerialAND: 1500 10 281 
SerialAND: 2000 10 575 
SerialAND: 2500 10 596 
SerialAND: 3000 10 698 
SerialAND: 3500 10 1041 
SerialAND: 4000 10 1298 
SerialAND: 4500 10 1422 
SerialAND: 5000 10 1607 
SerialAND: 5500 10 1445 
SerialAND: 6000 10 1960 
SerialAND: 6500 10 2466 
SerialAND: 7000 10 2099 
SerialAND: 7500 10 2732 
SerialAND: 8000 10 2813 
SerialAND: 8500 10 2980 
SerialAND: 9000 10 3087 
SerialAND: 9500 10 4216 
SerialAND: 10000 10 3269 
End SerialAND evaluation 
