Beginning SerialIteration evaluation 
SerialIteration: 500 1 25 
SerialIteration: 1000 1 50 
SerialIteration: 1500 1 49 
SerialIteration: 2000 1 111 
SerialIteration: 2500 1 115 
SerialIteration: 3000 1 109 
SerialIteration: 3500 1 169 
SerialIteration: 4000 1 244 
SerialIteration: 4500 1 285 
SerialIteration: 5000 1 309 
SerialIteration: 5500 1 298 
SerialIteration: 6000 1 317 
SerialIteration: 6500 1 375 
SerialIteration: 7000 1 453 
SerialIteration: 7500 1 544 
SerialIteration: 8000 1 603 
SerialIteration: 8500 1 592 
SerialIteration: 9000 1 600 
SerialIteration: 9500 1 567 
SerialIteration: 10000 1 591 
SerialIteration: 500 2 27 
SerialIteration: 1000 2 63 
SerialIteration: 1500 2 71 
SerialIteration: 2000 2 175 
SerialIteration: 2500 2 174 
SerialIteration: 3000 2 164 
SerialIteration: 3500 2 246 
SerialIteration: 4000 2 360 
SerialIteration: 4500 2 387 
SerialIteration: 5000 2 388 
SerialIteration: 5500 2 426 
SerialIteration: 6000 2 377 
SerialIteration: 6500 2 525 
SerialIteration: 7000 2 591 
SerialIteration: 7500 2 701 
SerialIteration: 8000 2 948 
SerialIteration: 8500 2 1064 
SerialIteration: 9000 2 867 
SerialIteration: 9500 2 868 
SerialIteration: 10000 2 971 
SerialIteration: 500 3 45 
SerialIteration: 1000 3 104 
SerialIteration: 1500 3 109 
SerialIteration: 2000 3 245 
SerialIteration: 2500 3 261 
SerialIteration: 3000 3 244 
SerialIteration: 3500 3 350 
SerialIteration: 4000 3 475 
SerialIteration: 4500 3 640 
SerialIteration: 5000 3 613 
SerialIteration: 5500 3 546 
SerialIteration: 6000 3 519 
SerialIteration: 6500 3 665 
SerialIteration: 7000 3 775 
SerialIteration: 7500 3 985 
SerialIteration: 8000 3 1236 
SerialIteration: 8500 3 1168 
SerialIteration: 9000 3 1124 
SerialIteration: 9500 3 1162 
SerialIteration: 10000 3 1239 
SerialIteration: 500 4 56 
SerialIteration: 1000 4 123 
SerialIteration: 1500 4 133 
SerialIteration: 2000 4 301 
SerialIteration: 2500 4 319 
SerialIteration: 3000 4 278 
SerialIteration: 3500 4 456 
SerialIteration: 4000 4 605 
SerialIteration: 4500 4 724 
SerialIteration: 5000 4 687 
SerialIteration: 5500 4 672 
SerialIteration: 6000 4 869 
SerialIteration: 6500 4 1004 
SerialIteration: 7000 4 1088 
SerialIteration: 7500 4 1249 
SerialIteration: 8000 4 1419 
SerialIteration: 8500 4 1413 
SerialIteration: 9000 4 1394 
SerialIteration: 9500 4 1375 
SerialIteration: 10000 4 1531 
SerialIteration: 500 5 65 
SerialIteration: 1000 5 150 
SerialIteration: 1500 5 178 
SerialIteration: 2000 5 407 
SerialIteration: 2500 5 383 
SerialIteration: 3000 5 400 
SerialIteration: 3500 5 573 
SerialIteration: 4000 5 700 
SerialIteration: 4500 5 783 
SerialIteration: 5000 5 874 
SerialIteration: 5500 5 807 
SerialIteration: 6000 5 754 
SerialIteration: 6500 5 1025 
SerialIteration: 7000 5 1467 
SerialIteration: 7500 5 1537 
SerialIteration: 8000 5 1624 
SerialIteration: 8500 5 1772 
SerialIteration: 9000 5 1895 
SerialIteration: 9500 5 1696 
SerialIteration: 10000 5 1944 
End SerialIteration evaluation 
